area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
South Carolina,Software Developers and Software Quality Assurance Analysts and Testers,7790,5.3,3.694,0.39,44.44,92440,2.7
South Carolina,Web Developers and Digital Interface Designers,1540,5.4,0.732,0.72,36.34,75590,2.5
South Carolina,"Computer Occupations, All Other",1960,6.1,0.928,0.35,40.66,84570,4.4
South Carolina,Actuaries,60,24.7,0.03,0.2,39.12,81370,3.1
South Carolina,Operations Research Analysts,880,5.4,0.417,0.61,39,81130,2.6
South Carolina,Statisticians,260,12,0.123,0.46,33.14,68940,2.1
South Carolina,"Data Scientists and Mathematical Science Occupations, All Other",40,27.4,0.017,0.08,51.13,106340,4.2
South Carolina,Architecture and Engineering Occupations,42300,1.8,20.067,1.14,38.56,80210,1.2
South Carolina,"Architects, Except Landscape and Naval",840,13.6,0.4,0.55,41.11,85510,3
South Carolina,Landscape Architects,380,20.6,0.18,1.3,30.91,64300,6.5
South Carolina,Cartographers and Photogrammetrists,380,13,0.182,2.36,26.57,55270,2.4
South Carolina,Surveyors,870,9.7,0.413,1.34,23.84,49590,2.5
South Carolina,Bioengineers and Biomedical Engineers,170,8.7,0.08,0.6,32.09,66740,2.3
South Carolina,Chemical Engineers,550,14.1,0.259,1.26,46.85,97450,3.2
South Carolina,Civil Engineers,5750,4.4,2.728,1.29,41.46,86230,2.1
South Carolina,Computer Hardware Engineers,490,12.9,0.232,0.5,46.36,96420,5.7
South Carolina,Electrical Engineers,2250,4.2,1.067,0.84,42.89,89200,1.8
South Carolina,"Electronics Engineers, Except Computer",1490,12.4,0.705,0.8,44.3,92150,5
South Carolina,Environmental Engineers,1060,6.9,0.502,1.39,43.46,90400,4.5
South Carolina,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",530,5.1,0.252,1.43,38,79040,2.1
South Carolina,Industrial Engineers,7490,3.1,3.556,1.79,42.83,89090,1.1
South Carolina,Materials Engineers,780,7,0.37,2.02,41.52,86350,2.3
South Carolina,Mechanical Engineers,5890,4,2.796,1.34,42.57,88540,2.1
South Carolina,Nuclear Engineers,1580,1.1,0.747,6.92,50.65,105340,1.7
South Carolina,"Engineers, All Other",630,6.2,0.301,0.29,48.89,101690,3.2
South Carolina,Architectural and Civil Drafters,1300,9.2,0.617,0.92,26.92,56000,3.6
South Carolina,Electrical and Electronics Drafters,330,13.3,0.157,0.95,29.87,62130,4.2
South Carolina,Mechanical Drafters,750,7.6,0.356,0.95,28.54,59370,2.3
South Carolina,Aerospace Engineering and Operations Technologists and Technicians,50,27.1,0.025,0.32,27.82,57870,4.7
South Carolina,Civil Engineering Technologists and Technicians,990,11.3,0.468,1,23.92,49760,3.1
South Carolina,Electrical and Electronic Engineering Technologists and Technicians,1400,5.6,0.663,0.79,31.5,65520,1.5
South Carolina,Electro-Mechanical and Mechatronics Technologists and Technicians,200,35.7,0.093,0.96,28.75,59790,3
South Carolina,Environmental Engineering Technologists and Technicians,140,5.4,0.067,0.54,28.17,58600,2.4
South Carolina,Industrial Engineering Technologists and Technicians,2040,4,0.966,2.11,27.8,57820,2.4
South Carolina,Mechanical Engineering Technologists and Technicians,890,10.6,0.421,1.45,27.88,58000,2.4
South Carolina,Surveying and Mapping Technicians,1260,6,0.599,1.66,19.09,39700,2
South Carolina,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",1380,17.4,0.653,1.09,31.54,65600,3.1
South Carolina,"Life, Physical, and Social Science Occupations",11440,2.4,5.428,0.62,32.29,67170,1.5
South Carolina,Food Scientists and Technologists,40,9.5,0.02,0.22,32.29,67160,12.5
South Carolina,Biochemists and Biophysicists,**,**,**,**,42.6,88620,8.2
South Carolina,Microbiologists,140,8.3,0.066,0.53,32.41,67420,5.1
South Carolina,Zoologists and Wildlife Biologists,200,0.5,0.096,0.74,24.86,51700,2.1
South Carolina,"Biological Scientists, All Other",200,15.1,0.094,0.35,38.32,79710,2.1
South Carolina,Conservation Scientists,160,13.8,0.076,0.51,33.22,69100,1.4
South Carolina,Foresters,210,40,0.098,1.52,33.62,69940,3.2
South Carolina,"Medical Scientists, Except Epidemiologists",440,11.9,0.209,0.24,38.74,80580,10.3
South Carolina,Physicists,80,15.7,0.037,0.32,73.64,153170,5.2
South Carolina,Atmospheric and Space Scientists,50,7,0.026,0.41,45.39,94410,3.4
South Carolina,Chemists,2010,6.5,0.954,1.68,36.53,75980,2.4
South Carolina,Materials Scientists,80,4.8,0.036,0.79,37.37,77730,3.6
South Carolina,"Environmental Scientists and Specialists, Including Health",250,14.2,0.12,0.21,29.39,61120,6.2
South Carolina,"Geoscientists, Except Hydrologists and Geographers",170,30.2,0.079,0.4,34.46,71670,6.4
South Carolina,Hydrologists,110,13.8,0.051,1.16,25.12,52240,3.3
South Carolina,"Physical Scientists, All Other",50,1,0.025,0.21,57.56,119730,3.3
South Carolina,Economists,120,7.1,0.058,0.45,33.08,68810,3
South Carolina,"Clinical, Counseling, and School Psychologists",1140,6.1,0.539,0.7,32.71,68040,2.7
South Carolina,Urban and Regional Planners,370,5.7,0.175,0.67,29.64,61640,1.4
South Carolina,Anthropologists and Archeologists,40,14.9,0.018,0.38,30.67,63790,5
South Carolina,"Social Scientists and Related Workers, All Other",190,0,0.089,0.39,36.17,75230,1.2
South Carolina,Agricultural and Food Science Technicians,40,21.2,0.019,0.13,27,56160,3.2
South Carolina,Biological Technicians,240,7.3,0.115,0.21,21.82,45380,2.8
South Carolina,Chemical Technicians,1150,5.1,0.548,1.22,21.71,45150,1.7
South Carolina,"Environmental Science and Protection Technicians, Including Health",90,19.2,0.044,0.2,19.69,40960,4.3
South Carolina,Geological and Hydrologic Technicians,110,21.8,0.054,0.47,22.12,46020,5.5
South Carolina,Social Science Research Assistants,100,15.7,0.045,0.19,28.77,59830,6.1
South Carolina,Forest and Conservation Technicians,220,6.4,0.103,0.79,20.43,42500,1.2
South Carolina,Forensic Science Technicians,150,13.2,0.072,0.64,20.93,43530,2.1
South Carolina,"Life, Physical, and Social Science Technicians, All Other",190,21.4,0.088,0.2,26.54,55210,2.5
South Carolina,Occupational Health and Safety Specialists,1630,2.8,0.775,1.23,29.76,61910,2.9
South Carolina,Occupational Health and Safety Technicians,790,2.6,0.374,2.67,*,*,*
South Carolina,Community and Social Service Occupations,26890,2.3,12.756,0.83,20.91,43500,1.8
South Carolina,"Educational, Guidance, and Career Counselors and Advisors",5120,2.9,2.428,1.2,26.1,54280,2.6
South Carolina,Marriage and Family Therapists,200,38.4,0.096,0.24,*,*,*
South Carolina,Rehabilitation Counselors,780,43.1,0.372,0.5,17.73,36870,3.7
South Carolina,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",1710,8.1,0.813,0.42,20.01,41620,3.1
South Carolina,"Child, Family, and School Social Workers",3220,6.2,1.53,0.69,18.45,38380,2.3
South Carolina,Healthcare Social Workers,2130,4.7,1.011,0.85,27.63,57470,1.6
South Carolina,Mental Health and Substance Abuse Social Workers,1440,3.5,0.683,0.85,16.69,34710,1.6
South Carolina,"Social Workers, All Other",2770,0.1,1.316,3.31,21.97,45700,1.1
South Carolina,Health Education Specialists,660,7.3,0.315,0.79,29.11,60560,1.9
South Carolina,Probation Officers and Correctional Treatment Specialists,400,3,0.192,0.32,21.27,44250,0.8
South Carolina,Social and Human Service Assistants,7270,3.4,3.448,1.25,15.24,31700,1.4
South Carolina,Community Health Workers,330,11.5,0.155,0.39,20.65,42940,2.3
South Carolina,"Community and Social Service Specialists, All Other",30,24.6,0.015,0.02,17.69,36800,4.2
South Carolina,Clergy,730,10.4,0.347,0.96,26.59,55310,5.4
South Carolina,"Directors, Religious Activities and Education",60,21.6,0.027,0.18,34.82,72420,4.5
South Carolina,Legal Occupations,13750,3.7,6.524,0.83,37.51,78030,4.1
South Carolina,Lawyers,6350,7.2,3.011,0.67,53.41,111090,6.3
South Carolina,Judicial Law Clerks,100,9.7,0.046,0.4,19.71,40990,2.5
South Carolina,"Administrative Law Judges, Adjudicators, and Hearing Officers",120,2.9,0.059,0.61,45.39,94410,1.5
South Carolina,"Arbitrators, Mediators, and Conciliators",40,15.9,0.02,0.48,22.86,47550,2.6
South Carolina,"Judges, Magistrate Judges, and Magistrates",590,3.8,0.278,1.42,29.12,60560,2.1
South Carolina,Paralegals and Legal Assistants,5960,5.3,2.828,1.26,22.37,46540,2.4
South Carolina,"Title Examiners, Abstractors, and Searchers",440,23,0.211,0.59,28.53,59350,24.7
South Carolina,"Legal Support Workers, All Other",150,0.7,0.071,0.23,35.03,72860,2.4
South Carolina,Educational Instruction and Library Occupations,111850,1.8,53.067,0.88,23.6,49080,2.2
South Carolina,"Business Teachers, Postsecondary",890,3.3,0.424,0.74,*,101250,9.7
South Carolina,"Computer Science Teachers, Postsecondary",370,4,0.174,0.81,*,73380,3.4
South Carolina,"Mathematical Science Teachers, Postsecondary",480,5.7,0.229,0.66,*,71490,4.7
South Carolina,"Engineering Teachers, Postsecondary",240,2.2,0.115,0.47,*,101320,6
South Carolina,"Agricultural Sciences Teachers, Postsecondary",70,3.5,0.032,0.5,*,66860,4.9
South Carolina,"Biological Science Teachers, Postsecondary",450,8.3,0.212,0.59,*,67950,3.1
South Carolina,"Chemistry Teachers, Postsecondary",240,11.1,0.112,0.77,*,78350,4.2
South Carolina,"Physics Teachers, Postsecondary",120,1.8,0.057,0.6,*,97770,8.4
South Carolina,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",40,16.6,0.019,0.27,*,63270,2.8
South Carolina,"Economics Teachers, Postsecondary",60,9.8,0.027,0.3,*,73710,7.7
South Carolina,"Political Science Teachers, Postsecondary",120,4.9,0.057,0.53,*,85180,4.9
South Carolina,"Psychology Teachers, Postsecondary",310,4.7,0.148,0.58,*,87320,4.4
South Carolina,"Sociology Teachers, Postsecondary",180,12.2,0.083,0.88,*,72350,5.8
South Carolina,"Social Sciences Teachers, Postsecondary, All Other",50,5.5,0.023,0.2,*,64910,9.1
South Carolina,"Health Specialties Teachers, Postsecondary",1170,5.4,0.556,0.4,*,74310,10.5
South Carolina,"Nursing Instructors and Teachers, Postsecondary",910,6.9,0.431,1.06,*,74020,3.8
South Carolina,"Education Teachers, Postsecondary",1130,2.5,0.538,1.29,*,63480,4.9
South Carolina,"Library Science Teachers, Postsecondary",60,8.9,0.028,0.94,*,78130,2.6
South Carolina,"Criminal Justice and Law Enforcement Teachers, Postsecondary",120,9.6,0.057,0.6,*,80820,11.4
South Carolina,"Art, Drama, and Music Teachers, Postsecondary",680,7.2,0.323,0.5,*,67380,6.8
South Carolina,"Communications Teachers, Postsecondary",180,10.4,0.084,0.43,*,71380,4.5
South Carolina,"English Language and Literature Teachers, Postsecondary",670,4.3,0.32,0.69,*,72090,4.4
South Carolina,"Foreign Language and Literature Teachers, Postsecondary",80,7.8,0.038,0.23,*,73450,13.9
South Carolina,"History Teachers, Postsecondary",260,5.8,0.124,0.86,*,75030,5.3
