Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Nebraska,"Sawing Machine Setters, Operators, and Tenders, Wood",120,130,10,8.3,20,,
Nebraska,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",130,140,10,7.7,20,,
Nebraska,"Woodworkers, All Other",20,20,0,0.0,0,,
Nebraska,Nuclear Power Reactor Operators,20,20,0,0.0,0,,
Nebraska,Power Distributors and Dispatchers,140,140,0,0.0,10,,
Nebraska,Power Plant Operators,330,330,0,0.0,30,,
Nebraska,Stationary Engineers and Boiler Operators,560,600,40,7.1,70,,
Nebraska,Water and Wastewater Treatment Plant and System Operators,1130,1110,-20,-1.8,100,,
Nebraska,Chemical Plant and System Operators,110,110,0,0.0,10,,
Nebraska,Gas Plant Operators,400,380,-20,-5.0,40,,
Nebraska,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",100,100,0,0.0,10,,
Nebraska,"Plant and System Operators, All Other",20,30,10,50.0,0,,
Nebraska,Chemical Equipment Operators and Tenders,680,720,40,5.9,80,,
Nebraska,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",660,710,50,7.6,80,,
Nebraska,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",370,380,10,2.7,40,,
Nebraska,"Grinding and Polishing Workers, Hand",70,60,-10,-14.3,10,,
Nebraska,"Mixing and Blending Machine Setters, Operators, and Tenders",1820,1920,100,5.5,230,,
Nebraska,"Cutters and Trimmers, Hand",150,120,-30,-20.0,10,,
Nebraska,"Cutting and Slicing Machine Setters, Operators, and Tenders",800,850,50,6.3,110,,
Nebraska,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",1450,1570,120,8.3,180,,
Nebraska,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",280,300,20,7.1,30,,
Nebraska,"Inspectors, Testers, Sorters, Samplers, and Weighers",5120,4520,-600,-11.7,530,,
Nebraska,Jewelers and Precious Stone and Metal Workers,230,240,10,4.3,30,,
Nebraska,Dental Laboratory Technicians,270,320,50,18.5,40,,
Nebraska,Medical Appliance Technicians,40,50,10,25.0,10,,
Nebraska,Ophthalmic Laboratory Technicians,120,130,10,8.3,20,,
Nebraska,Packaging and Filling Machine Operators and Tenders,4000,4290,290,7.3,510,,
Nebraska,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",970,1050,80,8.2,120,,
Nebraska,"Painters, Transportation Equipment",220,240,20,9.1,30,,
Nebraska,"Painting, Coating, and Decorating Workers",70,80,10,14.3,10,,
Nebraska,Semiconductor Processors,30,30,0,0.0,0,,
Nebraska,Photographic Process Workers and Processing Machine Operators,110,90,-20,-18.2,10,,
Nebraska,Adhesive Bonding Machine Operators and Tenders,20,20,0,0.0,0,,
Nebraska,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",450,490,40,8.9,80,,
Nebraska,Cooling and Freezing Equipment Operators and Tenders,140,150,10,7.1,20,,
Nebraska,Etchers and Engravers,70,80,10,14.3,10,,
Nebraska,"Molders, Shapers, and Casters, Except Metal and Plastic",160,180,20,12.5,20,,
Nebraska,"Paper Goods Machine Setters, Operators, and Tenders",450,470,20,4.4,50,,
Nebraska,Tire Builders,40,40,0,0.0,0,,
Nebraska,Helpers--Production Workers,3340,3700,360,10.8,550,,
Nebraska,"Production Workers, All Other",1710,1770,60,3.5,210,,
Nebraska,Aircraft Cargo Handling Supervisors,20,20,0,0.0,0,,
Nebraska,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",3270,3480,210,6.4,380,,
Nebraska,"Airline Pilots, Copilots, and Flight Engineers",110,100,-10,-9.1,10,,
Nebraska,Commercial Pilots,530,570,40,7.5,60,,
Nebraska,Air Traffic Controllers,70,70,0,0.0,10,,
Nebraska,Airfield Operations Specialists,70,70,0,0.0,10,,
Nebraska,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",60,70,10,16.7,10,,
Nebraska,"Bus Drivers, Transit and Intercity",730,760,30,4.1,100,,
Nebraska,"Bus Drivers, School or Special Client",3770,4000,230,6.1,510,,
Nebraska,Driver/Sales Workers,3030,2960,-70,-2.3,330,,
Nebraska,Heavy and Tractor-Trailer Truck Drivers,29510,31370,1860,6.3,3650,,
Nebraska,Light Truck or Delivery Services Drivers,5570,6060,490,8.8,710,,
Nebraska,Taxi Drivers and Chauffeurs,2530,3060,530,20.9,360,,
Nebraska,"Motor Vehicle Operators, All Other",440,490,50,11.4,80,,
Nebraska,Locomotive Engineers,460,490,30,6.5,50,,
Nebraska,"Rail Yard Engineers, Dinkey Operators, and Hostlers",60,60,0,0.0,10,,
Nebraska,"Railroad Brake, Signal, and Switch Operators",340,350,10,2.9,40,,
Nebraska,Railroad Conductors and Yardmasters,400,420,20,5.0,40,,
Nebraska,Subway and Streetcar Operators,10,10,0,0.0,0,,
Nebraska,Parking Lot Attendants,550,550,0,0.0,80,,
Nebraska,Automotive and Watercraft Service Attendants,360,360,0,0.0,50,,
Nebraska,Traffic Technicians,20,20,0,0.0,0,,
Nebraska,Transportation Inspectors,160,170,10,6.3,20,,
Nebraska,"Transportation Attendants, Except Flight Attendants",110,120,10,9.1,20,,
Nebraska,"Transportation Workers, All Other",260,270,10,3.8,30,,
Nebraska,Conveyor Operators and Tenders,1010,1020,10,1.0,120,,
Nebraska,Crane and Tower Operators,290,320,30,10.3,40,,
Nebraska,Dredge Operators,100,110,10,10.0,10,,
Nebraska,Excavating and Loading Machine and Dragline Operators,270,290,20,7.4,40,,
Nebraska,Hoist and Winch Operators,40,40,0,0.0,10,,
