occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse
"Designers, All Other",10610,6.0,35.34,73510,2.5
"Entertainers and Performers, Sports and Related Workers",536540,2.8,30.1,62600,2.1
"Actors, Producers, and Directors",181830,7.8,40.52,84290,2.4
Actors,52620,13.6,29.14,*,4.2
Producers and Directors,129210,5.7,45.16,93940,2.7
"Athletes, Coaches, Umpires, and Related Workers",272840,1.4,*,46460,1.0
Athletes and Sports Competitors,11330,5.2,*,93140,5.5
Coaches and Scouts,241390,1.6,*,44910,0.8
"Umpires, Referees, and Other Sports Officials",20120,3.3,*,38810,4.3
Dancers and Choreographers,14320,6.5,23.83,49570,2.5
Dancers,9690,8.1,22.91,*,3.0
Choreographers,4630,10.5,25.77,53590,3.4
"Musicians, Singers, and Related Workers",51710,2.6,38.15,*,2.2
Music Directors and Composers,10580,4.5,31.09,64670,4.2
Musicians and Singers,41130,2.9,39.96,*,2.5
"Miscellaneous Entertainers and Performers, Sports and Related Workers",15840,11.9,23.4,*,7.4
"Miscellaneous Entertainers and Performers, Sports and Related Workers",15840,11.9,23.4,*,7.4
Media and Communication Workers,609210,0.7,32.61,67830,0.4
Broadcast Announcers and Radio Disc Jockeys,29230,2.7,25.76,53580,1.9
Broadcast Announcers and Radio Disc Jockeys,29230,2.7,25.76,53580,1.9
"News Analysts, Reporters and Journalists",44100,2.7,30,62400,1.6
"News Analysts, Reporters, and Journalists",44100,2.7,30,62400,1.6
Public Relations Specialists,244730,1.0,33.75,70190,0.6
Public Relations Specialists,244730,1.0,33.75,70190,0.6
Writers and Editors,192580,1.1,35.42,73680,0.6
Editors,95970,1.7,34.57,71910,1.0
Technical Writers,50760,1.7,36.95,76860,0.6
Writers and Authors,45860,2.0,35.51,73860,1.4
Miscellaneous Media and Communication Workers,98560,2.2,27.49,57170,1.0
Interpreters and Translators,58870,3.1,27.4,57000,1.4
Court Reporters and Simultaneous Captioners,14530,4.3,31.25,64990,1.8
"Media and Communication Workers, All Other",25160,4.2,25.51,53060,1.8
Media and Communication Equipment Workers,238630,2.1,27.86,57950,1.7
Audio and Video Technicians,73960,2.4,24.65,51260,1.1
Broadcast Technicians,28650,3.2,22.5,46800,1.3
Sound Engineering Technicians,12890,5.1,32.25,67090,3.3
Photographers,50620,2.3,21.85,45440,1.7
Photographers,50620,2.3,21.85,45440,1.7
"Television, Video, and Film Camera Operators and Editors",49070,3.7,37.27,77510,3.6
"Camera Operators, Television, Video, and Film",21500,3.9,31.23,64960,2.7
Film and Video Editors,27570,4.7,41.97,87300,4.5
"Lighting Technicians and Media and Communication Equipment Workers, All Other",23440,9.8,35.43,73700,1.7
Healthcare Practitioners and Technical Occupations,8673140,0.3,40.21,83640,0.2
Healthcare Diagnosing or Treating Practitioners,5685500,0.4,49.26,102470,0.3
Chiropractors,35010,2.5,40.87,85010,1.9
Chiropractors,35010,2.5,40.87,85010,1.9
Dentists,127200,1.6,88.01,183060,1.1
"Dentists, General",110730,1.9,85.7,178260,1.2
Oral and Maxillofacial Surgeons,4650,9.6,114.21,237570,4.4
Orthodontists,5990,8.4,110.98,230830,4.2
Prosthodontists,490,27.2,106.17,220840,10.3
"Dentists, All Other Specialists",5330,11.8,85.59,178040,5.0
Dietitians and Nutritionists,67670,1.3,29.97,62330,0.4
Dietitians and Nutritionists,67670,1.3,29.97,62330,0.4
Optometrists,39420,2.6,59.12,122980,1.2
Optometrists,39420,2.6,59.12,122980,1.2
Pharmacists,311200,1.2,60.34,125510,0.3
Pharmacists,311200,1.2,60.34,125510,0.3
Physician Assistants,120090,1.5,54.04,112410,0.4
Physician Assistants,120090,1.5,54.04,112410,0.4
Podiatrists,9770,3.5,68.6,142680,2.0
Podiatrists,9770,3.5,68.6,142680,2.0
Therapists,709730,0.7,38.87,80850,0.2
Occupational Therapists,133570,1.2,41.45,86210,0.4
Physical Therapists,233350,1.1,43.35,90170,0.3
Radiation Therapists,17860,3.4,44.05,91620,1.0
Recreational Therapists,19070,2.4,24.58,51130,0.8
Respiratory Therapists,132090,1.1,30.75,63950,0.3
Speech-Language Pathologists,154360,1.6,39.43,82000,0.6
Exercise Physiologists,7280,4.1,26.32,54750,2.7
"Therapists, All Other",12170,4.9,28.17,58600,2.1
Veterinarians,74540,1.8,50.39,104820,1.1
Veterinarians,74540,1.8,50.39,104820,1.1
Registered Nurses,2982280,0.5,37.24,77460,0.2
Registered Nurses,2982280,0.5,37.24,77460,0.2
Nurse Anesthetists,43570,3.9,87.04,181040,0.9
Nurse Anesthetists,43570,3.9,87.04,181040,0.9
Nurse Midwives,6930,4.9,52.31,108810,1.3
Nurse Midwives,6930,4.9,52.31,108810,1.3
Nurse Practitioners,200600,1.3,53.77,111840,0.4
Nurse Practitioners,200600,1.3,53.77,111840,0.4
Audiologists,13590,4.4,40.34,83900,1.7
Audiologists,13590,4.4,40.34,83900,1.7
Anesthesiologists,31010,5.4,125.83,261730,2.2
Family Medicine Physicians,109370,2.1,102.53,213270,1.2
General Internal Medicine Physicians,44610,3.7,96.85,201440,2.5
Obstetricians and Gynecologists,18620,3.9,112.31,233610,1.7
"Pediatricians, General",29740,5.4,88.66,184410,1.6
Psychiatrists,25530,3.6,105.98,220430,1.8
"Physicians, All Other; and Ophthalmologists, Except Pediatric",390680,1.4,97.81,203450,1.0
"Surgeons, Except Ophthalmologists",36270,3.5,121.17,252040,1.6
Miscellaneous Healthcare Diagnosing or Treating Practitioners,258060,1.1,37.93,78900,0.9
Dental Hygienists,221560,1.3,37.13,77230,0.6
"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",36500,2.3,42.82,89060,3.9
Health Technologists and Technicians,2902300,0.4,22.86,47540,0.2
Clinical Laboratory Technologists and Technicians,326020,0.9,26.34,54780,0.3
Clinical Laboratory Technologists and Technicians,326020,0.9,26.34,54780,0.3
Cardiovascular Technologists and Technicians,56110,1.5,28.66,59600,0.5
Diagnostic Medical Sonographers,72790,1.2,36.44,75780,0.3
Nuclear Medicine Technologists,18110,1.8,38.58,80240,0.4
Radiologic Technologists and Technicians,207360,0.8,30.34,63120,0.3
Magnetic Resonance Imaging Technologists,37900,2.1,35.7,74270,0.5
Emergency Medical Technicians and Paramedics,260600,1.2,18.67,38830,0.8
Emergency Medical Technicians and Paramedics,260600,1.2,18.67,38830,0.8
Health Practitioner Support Technologists and Technicians,803740,0.6,18.17,37800,0.3
Dietetic Technicians,29230,2.7,14.99,31180,0.7
Pharmacy Technicians,417780,0.8,16.95,35250,0.3
Psychiatric Technicians,78470,1.8,18.05,37550,1.4
Surgical Technologists,109000,1.1,24.09,50110,0.3
Veterinary Technologists and Technicians,110650,1.8,17.63,36670,0.6
Ophthalmic Medical Technicians,58600,3.1,18.64,38760,0.8
Licensed Practical and Licensed Vocational Nurses,697510,0.7,23.32,48500,0.2
Licensed Practical and Licensed Vocational Nurses,697510,0.7,23.32,48500,0.2
"Opticians, Dispensing",72330,2.2,19.58,40730,0.8
"Opticians, Dispensing",72330,2.2,19.58,40730,0.8
Orthotists and Prosthetists,9830,5.4,35.01,72810,2.0
Hearing Aid Specialists,8210,6.6,26.62,55360,2.2
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other",331790,0.9,22.4,46590,0.3
Other Healthcare Practitioners and Technical Occupations,85340,1.9,27.22,56620,0.7
Athletic Trainers,28600,2.9,*,50540,1.0
Genetic Counselors,2390,5.3,40.54,84310,1.2
"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",54350,2.5,28.17,58600,1.2
Healthcare Support Occupations,6521790,0.3,14.91,31010,0.2
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",4683430,0.4,13.39,27860,0.3
Home Health and Personal Care Aides,3161500,0.6,12.71,26440,0.3
Home Health and Personal Care Aides,3161500,0.6,12.71,26440,0.3
"Nursing Assistants, Orderlies, and Psychiatric Aides",1521930,0.5,14.8,30790,0.3
Nursing Assistants,1419920,0.5,14.77,30720,0.3
Orderlies,46990,2.1,14.76,30710,0.6
Psychiatric Aides,55020,2.1,15.67,32590,0.8
Occupational Therapy and Physical Therapist Assistants and Aides,198660,1.3,24.56,51080,0.5
Occupational Therapy Assistants and Aides,52550,1.9,27.84,57910,0.9
Occupational Therapy Assistants,44990,2.3,29.75,61880,0.5
Occupational Therapy Aides,7560,7.1,16.5,34310,4.3
Physical Therapist Assistants and Aides,146110,1.3,23.38,48630,0.5
Physical Therapist Assistants,96840,1.5,28.14,58520,0.5
Physical Therapist Aides,49270,2.3,14.03,29180,0.7
Other Healthcare Support Occupations,1639700,0.5,18.07,37580,0.2
Massage Therapists,107240,2.4,22.68,47180,1.2
Massage Therapists,107240,2.4,22.68,47180,1.2
Miscellaneous Healthcare Support Occupations,1532460,0.5,17.74,36910,0.2
Dental Assistants,351470,0.9,19.79,41170,0.4
Medical Assistants,712430,0.8,17.17,35720,0.2
Medical Equipment Preparers,56900,1.7,19.01,39530,0.6
Medical Transcriptionists,55780,3.3,16.93,35210,1.1
Pharmacy Aides,37280,4.0,14.66,30490,1.2
Veterinary Assistants and Laboratory Animal Caretakers,97030,2.2,14.28,29690,0.6
Phlebotomists,128290,1.5,17.54,36480,0.4
"Healthcare Support Workers, All Other",93270,1.6,19.24,40010,0.6
Protective Service Occupations,3498800,0.4,23.98,49880,0.6
Supervisors of Protective Service Workers,319960,0.6,37.31,77600,0.7
First-Line Supervisors of Law Enforcement Workers,167780,0.4,42.2,87770,0.7
First-Line Supervisors of Correctional Officers,46430,0.5,33.18,69000,0.8
First-Line Supervisors of Police and Detectives,121340,0.5,45.65,94950,0.6
First-Line Supervisors of Firefighting and Prevention Workers,69590,1.0,39.43,82010,0.8
First-Line Supervisors of Firefighting and Prevention Workers,69590,1.0,39.43,82010,0.8
"Miscellaneous First-Line Supervisors, Protective Service Workers",82590,1.8,25.58,53210,0.7
"Miscellaneous First-Line Supervisors, Protective Service Workers",82590,1.8,25.58,53210,0.7
Firefighting and Prevention Workers,340490,0.8,26.46,55040,0.9
Firefighters,324620,0.9,26.27,54650,1.0
Firefighters,324620,0.9,26.27,54650,1.0
Fire Inspectors,15870,2.6,30.38,63180,1.1
Fire Inspectors and Investigators,13710,3.0,31.12,64730,1.3
Forest Fire Inspectors and Prevention Specialists,2160,2.0,25.65,53350,1.3
Law Enforcement Workers,1232740,0.4,30.17,62740,0.7
"Bailiffs, Correctional Officers, and Jailers",442700,0.5,24.14,50210,0.7
Bailiffs,19650,1.0,24.92,51840,1.4
Correctional Officers and Jailers,423050,0.5,24.1,50130,0.7
Detectives and Criminal Investigators,105620,0.4,41.36,86030,0.5
Detectives and Criminal Investigators,105620,0.4,41.36,86030,0.5
Fish and Game Wardens,6800,0.5,27.73,57690,0.3
Fish and Game Wardens,6800,0.5,27.73,57690,0.3
Parking Enforcement Workers,7650,2.2,20.88,43420,1.6
Parking Enforcement Workers,7650,2.2,20.88,43420,1.6
Police Officers,669970,0.5,32.51,67620,0.8
Police and Sheriff's Patrol Officers,665280,0.5,32.5,67600,0.7
Transit and Railroad Police,4690,8.1,34.19,71120,3.2
Other Protective Service Workers,1605610,0.7,16.05,33380,0.4
Animal Control Workers,11980,2.3,19.09,39710,0.7
Animal Control Workers,11980,2.3,19.09,39710,0.7
Private Detectives and Investigators,35000,8.0,27.4,57000,4.5
Private Detectives and Investigators,35000,8.0,27.4,57000,4.5
Security Guards and Gambling Surveillance Officers,1136650,0.9,15.9,33080,0.4
Gambling Surveillance Officers and Gambling Investigators,10280,4.1,18.28,38030,1.2
Security Guards,1126370,0.9,15.88,33030,0.4
Miscellaneous Protective Service Workers,421980,1.2,15.42,32070,0.6
Crossing Guards and Flaggers,84920,2.9,15.83,32920,1.1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",143940,2.5,12.2,25380,0.9
Transportation Security Screeners,46730,0.3,20.34,42310,0.6
"School Bus Monitors and Protective Service Workers, All Other",146390,2.0,16.77,34880,0.7
Food Preparation and Serving Related Occupations,13494590,0.2,12.82,26670,0.2
Supervisors of Food Preparation and Serving Workers,1139290,0.6,18.82,39140,0.3
Supervisors of Food Preparation and Serving Workers,1139290,0.6,18.82,39140,0.3
Chefs and Head Cooks,128190,2.7,27.07,56310,1.6
First-Line Supervisors of Food Preparation and Serving Workers,1011100,0.6,17.77,36960,0.3
Cooks and Food Preparation Workers,3367740,0.5,13.03,27100,0.2
Cooks,2504000,0.6,13.24,27550,0.2
"Cooks, Fast Food",527220,2.0,11.31,23530,0.4
"Cooks, Institution and Cafeteria",402480,0.8,13.96,29030,0.3
"Cooks, Private Household",390,21.3,21.92,45600,11.1
"Cooks, Restaurant",1401890,0.7,13.8,28700,0.3
"Cooks, Short Order",152670,3.2,12.62,26240,0.7
"Cooks, All Other",19340,5.8,15.5,32240,1.5
Food Preparation Workers,863740,1.3,12.41,25820,0.4
Food Preparation Workers,863740,1.3,12.41,25820,0.4
Food and Beverage Serving Workers,7500280,0.3,12.01,24990,0.3
Bartenders,646850,1.0,13.46,28000,0.5
Bartenders,646850,1.0,13.46,28000,0.5
Fast Food and Counter Workers,3996820,0.6,11.18,23250,0.2
Fast Food and Counter Workers,3996820,0.6,11.18,23250,0.2
Waiters and Waitresses,2579020,0.5,12.88,26800,0.5
Waiters and Waitresses,2579020,0.5,12.88,26800,0.5
"Food Servers, Nonrestaurant",277580,1.4,12.54,26080,0.4
"Food Servers, Nonrestaurant",277580,1.4,12.54,26080,0.4
Other Food Preparation and Serving Related Workers,1487290,0.7,11.82,24590,0.3
Dining Room and Cafeteria Attendants and Bartender Helpers,477270,1.4,12.03,25020,0.5
Dining Room and Cafeteria Attendants and Bartender Helpers,477270,1.4,12.03,25020,0.5
Dishwashers,514330,1.0,11.74,24410,0.3
Dishwashers,514330,1.0,11.74,24410,0.3
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",423380,1.4,11.54,24010,0.5
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",423380,1.4,11.54,24010,0.5
Miscellaneous Food Preparation and Serving Related Workers,72300,4.2,12.74,26510,0.9
"Food Preparation and Serving Related Workers, All Other",72300,4.2,12.74,26510,0.9
Building and Grounds Cleaning and Maintenance Occupations,4429100,0.3,15.03,31250,0.2
Supervisors of Building and Grounds Cleaning and Maintenance Workers,259140,1.0,22.8,47430,0.3
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,259140,1.0,22.8,47430,0.3
First-Line Supervisors of Housekeeping and Janitorial Workers,155550,1.1,21.23,44160,0.4
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",103580,1.7,25.16,52340,0.5
Building Cleaning and Pest Control Workers,3170010,0.4,14.11,29350,0.2
Building Cleaning Workers,3090570,0.4,13.98,29080,0.2
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2145450,0.5,14.43,30010,0.3
Maids and Housekeeping Cleaners,926960,0.8,12.89,26810,0.3
"Building Cleaning Workers, All Other",18150,9.7,16.96,35270,3.1
Pest Control Workers,79450,1.6,19.19,39910,1.1
Pest Control Workers,79450,1.6,19.19,39910,1.1
Grounds Maintenance Workers,999960,0.6,15.91,33100,0.3
Grounds Maintenance Workers,999960,0.6,15.91,33100,0.3
Landscaping and Groundskeeping Workers,912660,0.6,15.56,32360,0.3
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",25780,5.0,18.86,39230,1.9
Tree Trimmers and Pruners,47210,5.2,20.44,42510,1.6
"Grounds Maintenance Workers, All Other",14310,4.4,18.21,37870,2.0
Personal Care and Service Occupations,3303200,0.5,15.03,31260,0.2
Supervisors of Personal Care and Service Workers,247100,1.0,21.35,44400,0.4
First-Line Supervisors of Gambling Services Workers,29420,2.8,24.93,51850,1.1
"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services",217680,1.0,20.86,43400,0.4
Animal Care and Service Workers,228980,1.4,13.33,27720,0.4
Animal Trainers,16530,5.9,17.43,36240,1.8
Animal Trainers,16530,5.9,17.43,36240,1.8
Animal Caretakers,212450,1.4,13.01,27060,0.4
Animal Caretakers,212450,1.4,13.01,27060,0.4
Entertainment Attendants and Related Workers,628090,1.7,12.05,25060,0.4
Gambling Services Workers,119330,2.6,12.02,25010,1.2
Gambling Dealers,98890,2.8,11.53,23980,1.4
Gambling and Sports Book Writers and Runners,9970,7.5,13.38,27830,1.8
"Gambling Service Workers, All Other",10470,4.5,15.38,32000,1.6
Motion Picture Projectionists,4540,9.2,14.37,29890,3.3
Motion Picture Projectionists,4540,9.2,14.37,29890,3.3
"Ushers, Lobby Attendants, and Ticket Takers",138160,2.4,11.96,24870,0.8
"Ushers, Lobby Attendants, and Ticket Takers",138160,2.4,11.96,24870,0.8
Miscellaneous Entertainment Attendants and Related Workers,366050,2.6,12.06,25090,0.4
Amusement and Recreation Attendants,338110,2.6,11.7,24330,0.4
Costume Attendants,7460,9.9,23.55,48970,3.2
"Locker Room, Coatroom, and Dressing Room Attendants",15990,3.6,13.57,28230,1.8
"Entertainment Attendants and Related Workers, All Other",4500,9.8,15.28,31790,2.9
Embalmers,3890,7.7,24.09,50100,2.1
Funeral Attendants,34370,2.7,14.34,29830,1.0
Funeral Attendants,34370,2.7,14.34,29830,1.0
"Morticians, Undertakers, and Funeral Arrangers",25440,3.2,28.06,58360,1.5
"Morticians, Undertakers, and Funeral Arrangers",25440,3.2,28.06,58360,1.5
Personal Appearance Workers,589960,0.8,15.24,31700,0.6
"Barbers, Hairdressers, Hairstylists and Cosmetologists",405990,1.5,15.25,31710,0.7
Barbers,20030,8.6,16.92,35190,3.2
"Hairdressers, Hairstylists, and Cosmetologists",385960,1.5,15.16,31530,0.7
Miscellaneous Personal Appearance Workers,183970,2.7,15.22,31660,1.0
"Makeup Artists, Theatrical and Performance",3400,12.5,39.23,81600,6.5
Manicurists and Pedicurists,111780,4.0,13.17,27390,0.8
Shampooers,12120,5.7,11.02,22910,1.1
Skincare Specialists,56660,3.5,18.74,38970,1.6
"Baggage Porters, Bellhops, and Concierges",81460,2.3,15.06,31330,0.8
"Baggage Porters, Bellhops, and Concierges",81460,2.3,15.06,31330,0.8
Baggage Porters and Bellhops,39790,2.5,13.57,28230,0.8
Concierges,41670,3.8,16.48,34290,1.2
Tour and Travel Guides,48710,2.8,14.74,30670,0.8
Tour and Travel Guides,48710,2.8,14.74,30670,0.8
Tour and Travel Guides,48710,2.8,14.74,30670,0.8
Childcare Workers,561520,1.2,12.27,25510,0.5
Childcare Workers,561520,1.2,12.27,25510,0.5
Recreation and Fitness Workers,684240,0.8,17.71,36830,0.6
Exercise Trainers and Group Fitness Instructors,325500,1.2,21.69,45110,0.7
Recreation Workers,358750,1.1,14.1,29330,0.4
Residential Advisors,107930,2.6,15.2,31610,0.5
Residential Advisors,107930,2.6,15.2,31610,0.5
"Crematory Operators and Personal Care and Service Workers, All Other",61510,3.5,14.03,29190,1.3
Sales and Related Occupations,14371410,0.2,20.7,43060,0.2
Supervisors of Sales Workers,1420990,0.4,25.43,52900,0.2
First-Line Supervisors of Sales Workers,1420990,0.4,25.43,52900,0.2
First-Line Supervisors of Retail Sales Workers,1171900,0.5,22.03,45830,0.2
First-Line Supervisors of Non-Retail Sales Workers,249090,0.9,41.43,86180,0.4
Retail Sales Workers,8603590,0.3,13.27,27600,0.2
Cashiers,3617910,0.6,11.73,24400,0.2
Cashiers,3596630,0.6,11.72,24370,0.2
Gambling Change Persons and Booth Cashiers,21290,5.5,13.46,28010,1.0
Counter and Rental Clerks and Parts Salespersons,667730,0.8,16.16,33610,0.3
Counter and Rental Clerks,411560,1.2,15.67,32600,0.4
Parts Salespersons,256170,1.2,16.93,35220,0.5
Retail Salespersons,4317950,0.5,14.12,29360,0.2
Retail Salespersons,4317950,0.5,14.12,29360,0.2
"Sales Representatives, Services",2084000,0.5,34.45,71660,0.5
Advertising Sales Agents,129740,2.3,31.09,64660,1.0
Advertising Sales Agents,129740,2.3,31.09,64660,1.0
Insurance Sales Agents,410050,1.1,32.59,67780,0.9
Insurance Sales Agents,410050,1.1,32.59,67780,0.9
"Securities, Commodities, and Financial Services Sales Agents",437880,1.2,44.75,93090,1.4
"Securities, Commodities, and Financial Services Sales Agents",437880,1.2,44.75,93090,1.4
Travel Agents,66670,2.3,21.49,44690,1.1
Travel Agents,66670,2.3,21.49,44690,1.1
"Miscellaneous Sales Representatives, Services",1039670,0.8,32.1,66760,0.4
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1039670,0.8,32.1,66760,0.4
"Sales Representatives, Wholesale and Manufacturing",1651500,0.6,36.14,75180,0.3
"Sales Representatives, Wholesale and Manufacturing",1651500,0.6,36.14,75180,0.3
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",306980,2.2,44.7,92980,0.8
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1344530,0.5,34.19,71110,0.3
Other Sales and Related Workers,611330,1.2,25.72,53500,0.9
"Models, Demonstrators, and Product Promoters",80080,4.0,17,35360,1.3
Demonstrators and Product Promoters,77760,4.0,16.98,35320,1.4
Models,2320,22.7,17.52,36430,9.0
Real Estate Brokers and Sales Agents,205060,1.6,31.78,66100,1.4
Real Estate Brokers,42730,4.0,39.16,81450,3.6
Real Estate Sales Agents,162330,1.8,29.83,62060,1.4
Sales Engineers,63550,3.5,54.22,112780,1.0
Sales Engineers,63550,3.5,54.22,112780,1.0
Telemarketers,134800,3.2,14.31,29770,0.9
Telemarketers,134800,3.2,14.31,29770,0.9
Miscellaneous Sales and Related Workers,127850,1.7,19.35,40240,0.8
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",8930,8.1,16.9,35150,3.5
"Sales and Related Workers, All Other",118910,1.7,19.53,40620,0.9
Office and Administrative Support Occupations,19528250,0.2,19.73,41040,0.1
Supervisors of Office and Administrative Support Workers,1487870,0.3,28.91,60130,0.1
First-Line Supervisors of Office and Administrative Support Workers,1487870,0.3,28.91,60130,0.1
First-Line Supervisors of Office and Administrative Support Workers,1487870,0.3,28.91,60130,0.1
Communications Equipment Operators,76030,2.6,16.29,33890,1.0
"Switchboard Operators, Including Answering Service",68050,2.8,15.88,33030,1.0
"Switchboard Operators, Including Answering Service",68050,2.8,15.88,33030,1.0
Telephone Operators,4740,5.6,18.24,37940,1.4
Telephone Operators,4740,5.6,18.24,37940,1.4
Miscellaneous Communications Equipment Operators,3240,12.1,22.14,46050,3.2
"Communications Equipment Operators, All Other",3240,12.1,22.14,46050,3.2
Financial Clerks,2910660,0.3,19.6,40770,0.1
Bill and Account Collectors,235870,1.6,18.9,39300,0.4
Bill and Account Collectors,235870,1.6,18.9,39300,0.4
Billing and Posting Clerks,466450,0.8,19.53,40620,0.2
Billing and Posting Clerks,466450,0.8,19.53,40620,0.2
"Bookkeeping, Accounting, and Auditing Clerks",1512660,0.4,20.65,42960,0.1
"Bookkeeping, Accounting, and Auditing Clerks",1512660,0.4,20.65,42960,0.1
Gambling Cage Workers,14330,3.3,14.23,29600,0.9
Gambling Cage Workers,14330,3.3,14.23,29600,0.9
Payroll and Timekeeping Clerks,142700,1.0,22.79,47390,0.4
Payroll and Timekeeping Clerks,142700,1.0,22.79,47390,0.4
Procurement Clerks,66030,1.4,21.14,43980,0.3
Procurement Clerks,66030,1.4,21.14,43980,0.3
Tellers,442120,0.9,15.22,31660,0.2
Tellers,442120,0.9,15.22,31660,0.2
Miscellaneous Financial Clerks,30500,3.7,21.51,44740,1.1
"Financial Clerks, All Other",30500,3.7,21.51,44740,1.1
Information and Record Clerks,5780040,0.3,17.59,36580,0.1
Brokerage Clerks,47990,2.7,26.53,55190,0.7
Brokerage Clerks,47990,2.7,26.53,55190,0.7
Correspondence Clerks,6250,5.8,19.03,39570,1.0
Correspondence Clerks,6250,5.8,19.03,39570,1.0
"Court, Municipal, and License Clerks",154020,0.8,20.21,42030,0.6
"Court, Municipal, and License Clerks",154020,0.8,20.21,42030,0.6
"Credit Authorizers, Checkers, and Clerks",26700,3.2,20.13,41880,0.7
"Credit Authorizers, Checkers, and Clerks",26700,3.2,20.13,41880,0.7
Customer Service Representatives,2919230,0.5,17.94,37320,0.2
Customer Service Representatives,2919230,0.5,17.94,37320,0.2
"Eligibility Interviewers, Government Programs",139780,3.4,22.65,47110,0.5
"Eligibility Interviewers, Government Programs",139780,3.4,22.65,47110,0.5
File Clerks,102300,1.5,16.64,34610,0.4
File Clerks,102300,1.5,16.64,34610,0.4
"Hotel, Motel, and Resort Desk Clerks",267940,1.1,12.47,25950,0.4
"Hotel, Motel, and Resort Desk Clerks",267940,1.1,12.47,25950,0.4
"Interviewers, Except Eligibility and Loan",188570,1.4,17.49,36390,0.4
"Interviewers, Except Eligibility and Loan",188570,1.4,17.49,36390,0.4
"Library Assistants, Clerical",85910,1.2,14.34,29820,0.5
"Library Assistants, Clerical",85910,1.2,14.34,29820,0.5
Loan Interviewers and Clerks,208530,1.5,20.17,41960,0.3
Loan Interviewers and Clerks,208530,1.5,20.17,41960,0.3
New Accounts Clerks,43420,3.1,18.5,38490,1.9
New Accounts Clerks,43420,3.1,18.5,38490,1.9
Order Clerks,137180,2.5,17.6,36600,0.7
Order Clerks,137180,2.5,17.6,36600,0.7
"Human Resources Assistants, Except Payroll and Timekeeping",117340,1.2,20.49,42620,0.3
"Human Resources Assistants, Except Payroll and Timekeeping",117340,1.2,20.49,42620,0.3
Receptionists and Information Clerks,1057370,0.6,15.02,31250,0.2
Receptionists and Information Clerks,1057370,0.6,15.02,31250,0.2
Reservation and Transportation Ticket Agents and Travel Clerks,123660,3.0,21.34,44390,1.1
Reservation and Transportation Ticket Agents and Travel Clerks,123660,3.0,21.34,44390,1.1
Miscellaneous Information and Record Clerks,153850,0.9,20.39,42410,0.4
"Information and Record Clerks, All Other",153850,0.9,20.39,42410,0.4
"Material Recording, Scheduling, Dispatching, and Distributing Workers",2155080,0.4,21.13,43950,0.1
Cargo and Freight Agents,95810,2.4,22.48,46770,0.9
Cargo and Freight Agents,95810,2.4,22.48,46770,0.9
Couriers and Messengers,74720,2.5,15.21,31640,0.9
Couriers and Messengers,74720,2.5,15.21,31640,0.9
Dispatchers,294680,1.1,21.24,44170,0.4
Public Safety Telecommunicators,95320,0.9,21.31,44310,0.4
"Dispatchers, Except Police, Fire, and Ambulance",199360,1.5,21.2,44100,0.6
"Meter Readers, Utilities",30450,3.8,22.23,46250,1.1
"Meter Readers, Utilities",30450,3.8,22.23,46250,1.1
Postal Service Workers,523220,0.0,24.88,51740,0.2
Postal Service Clerks,81170,0.0,24.33,50610,0.2
Postal Service Mail Carriers,339650,0.0,25.09,52180,0.2
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",102390,0.0,24.61,51190,0.3
"Production, Planning, and Expediting Clerks",370380,0.9,24.35,50640,0.2
"Production, Planning, and Expediting Clerks",370380,0.9,24.35,50640,0.2
"Shipping, Receiving, and Inventory Clerks",704910,0.7,17.32,36030,0.2
"Shipping, Receiving, and Inventory Clerks",704910,0.7,17.32,36030,0.2
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",60920,2.3,17.62,36650,0.5
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",60920,2.3,17.62,36650,0.5
Secretaries and Administrative Assistants,3353950,0.3,20.87,43410,0.1
Secretaries and Administrative Assistants,3353950,0.3,20.87,43410,0.1
Executive Secretaries and Executive Administrative Assistants,542690,0.6,30.25,62920,0.2
Legal Secretaries and Administrative Assistants,168140,1.7,24.47,50900,0.6
Medical Secretaries and Administrative Assistants,604780,0.8,18.31,38090,0.3
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2038340,0.4,18.84,39180,0.2
Other Office and Administrative Support Workers,3764620,0.4,17.75,36920,0.2
